iter	Passed	Remaining
820	1846	177
821	1849	175
822	1851	173
823	1854	171
824	1856	168
825	1858	166
826	1861	164
827	1863	162
828	1866	159
829	1868	157
830	1870	155
831	1873	153
832	1875	150
833	1878	148
834	1880	146
835	1883	144
836	1885	141
837	1888	139
838	1890	137
839	1893	135
840	1895	132
841	1898	130
842	1900	128
843	1903	126
844	1905	124
845	1908	121
846	1911	119
847	1914	117
848	1916	115
849	1919	112
850	1921	110
851	1924	108
852	1926	106
853	1929	103
854	1931	101
855	1934	99
856	1936	97
857	1939	94
858	1942	92
859	1944	90
860	1947	88
861	1949	85
862	1951	83
863	1953	81
864	1956	79
865	1958	76
866	1961	74
867	1963	72
868	1966	70
869	1969	67
870	1972	65
871	1975	63
872	1977	61
873	1979	58
874	1982	56
875	1985	54
876	1987	52
877	1990	49
878	1992	47
879	1995	45
880	1997	43
881	2000	40
882	2002	38
883	2005	36
884	2007	34
885	2009	31
886	2012	29
887	2014	27
888	2017	24
889	2019	22
890	2021	20
891	2024	18
892	2026	15
893	2029	13
894	2032	11
895	2035	9
896	2038	6
897	2040	4
898	2043	2
899	2046	0
